id,start_datetime,event_cause,corridor_name,zone_name,priority,requires_road_closure,severity_score,pred_severity_if_planned,pred_severity_if_unplanned,counterfactual_delta,cate,cate_lower,cate_upper,latitude,longitude
FKID004771,2023-12-09 12:05:46+00,public_event,Non-corridor,West Zone 1,Low,True,2,2.054030253006273,0.43244549066850235,1.6215847623377706,1.53328280437767,1.33328280437767,1.73328280437767,12.99037089,77.4873556
FKID004707,2023-12-10 04:52:46+00,public_event,Non-corridor,West Zone 1,Low,True,2,2.054030253006273,0.43244549066850235,1.6215847623377706,1.53328280437767,1.33328280437767,1.73328280437767,12.9899462,77.4871512
FKID001676,2024-03-17 22:05:46+00,vip_movement,Non-corridor,Unknown,Low,True,2,1.977593085102384,0.36114614601475614,1.616446939087628,1.7408916611431167,1.5408916611431167,1.9408916611431166,12.87830777,77.49542969
FKID001979,2024-03-17 22:05:46+00,vip_movement,Non-corridor,Unknown,Low,True,2,2.1153330986039203,0.5072817282050163,1.6080513703989041,1.285548447349711,1.085548447349711,1.485548447349711,12.88032054,77.49681914
FKID001641,2024-03-17 22:05:46+00,vip_movement,Non-corridor,Unknown,Low,True,2,2.236723123253126,0.6302066867551268,1.6065164364979991,1.1624182121166005,0.9624182121166005,1.3624182121166004,12.98920996,77.47177025
FKID002017,2024-03-17 22:05:46+00,vip_movement,Non-corridor,Unknown,Low,True,2,2.177765395495904,0.5712489589979052,1.6065164364979987,1.1624182121166005,0.9624182121166005,1.3624182121166004,12.98875447,77.47251828
FKID001896,2024-03-17 22:05:46+00,vip_movement,Non-corridor,Unknown,Low,True,2,2.1143335493676045,0.527287246790396,1.5870463025772086,0.9485500839572127,0.7485500839572128,1.1485500839572127,12.88601305,77.50546757
FKID001934,2024-03-17 22:05:46+00,vip_movement,Non-corridor,Unknown,Low,True,2,1.9056049347504713,0.37015467568939947,1.535450259061072,13.220420540263163,13.020420540263164,13.420420540263162,12.8558344,77.52546483
FKID006648,2023-12-09 00:05:46+00,construction,Non-corridor,Central Zone 2,Low,True,2,2.0698204597490673,0.5357433395055693,1.534077120243498,1.6907664057640897,1.4907664057640897,1.8907664057640896,12.98872458,77.57410491
FKID006647,2023-12-09 00:05:46+00,construction,Non-corridor,Central Zone 2,Low,True,2,2.0698204597490673,0.5357433395055693,1.534077120243498,1.6907664057640897,1.4907664057640897,1.8907664057640896,12.98872458,77.57410491
FKID001685,2024-03-17 22:05:46+00,vip_movement,Non-corridor,Unknown,Low,True,2,1.8782788895953817,0.35987560485318515,1.5184032847421967,13.220420540263163,13.020420540263164,13.420420540263162,12.85687109,77.52988795
FKID007213,2023-12-26 02:26:15.6+00,procession,Magadi Road,Central Zone 2,High,True,3,2.509260913192929,1.0564597749012403,1.4528011382916888,1.0246963973651153,0.8246963973651154,1.2246963973651153,12.9740557,77.5662098
FKID007249,2023-12-27 05:31:20.838+00,procession,Magadi Road,Central Zone 2,High,True,3,2.601637239060966,1.153217928678729,1.448419310382237,0.6550061541908482,0.45500615419084817,0.8550061541908482,12.9741263,77.5662671
FKID007248,2023-12-27 05:29:30.884+00,procession,Magadi Road,Central Zone 2,High,True,3,2.601637239060966,1.153217928678729,1.448419310382237,0.6550061541908482,0.45500615419084817,0.8550061541908482,12.9742147,77.5662877
FKID007636,2024-01-10 12:05:46+00,construction,Non-corridor,Central Zone 2,Low,True,2,2.063231248075251,0.617946908172358,1.445284339902893,1.6907664057640897,1.4907664057640897,1.8907664057640896,12.97424076,77.57447362
FKID006315,2024-01-07 18:05:46+00,procession,Non-corridor,Central Zone 2,Low,True,2,1.8958132951176578,0.4505289552147648,1.445284339902893,1.0118416027503883,0.8118416027503883,1.2118416027503882,12.9760586,77.58741676
FKID006030,2023-11-20 12:05:46+00,construction,Non-corridor,Central Zone 2,Low,True,2,1.9180190246486617,0.4727346847457693,1.4452843399028925,1.108663168156089,0.908663168156089,1.308663168156089,12.98270768,77.57672935
FKID002486,2024-01-19 12:05:46+00,construction,Non-corridor,Central Zone 2,Low,True,2,1.8843032929234669,0.4390189530205744,1.4452843399028925,1.108663168156089,0.908663168156089,1.308663168156089,12.98324679,77.57715769
FKID002354,2024-03-20 12:05:46+00,construction,Non-corridor,Central Zone 2,Low,True,2,1.906044513371277,0.46076017346838466,1.4452843399028923,1.108663168156089,0.908663168156089,1.308663168156089,12.98425609,77.58240759
FKID004088,2024-01-07 12:05:46+00,construction,Non-corridor,North Zone 1,Low,True,2,2.1791727653865407,0.7349282335579383,1.4442445318286024,0.9728264838869968,0.7728264838869967,1.1728264838869968,13.01136787,77.64639437
FKID000737,2024-02-07 18:05:46+00,public_event,Non-corridor,Unknown,Low,True,2,2.1851025986005785,0.7525090394866693,1.4325935591139092,1.376577774743582,1.176577774743582,1.5765777747435819,12.98709566,77.61905384
